Data_value,STATUS,UNITS,Magnitude,Subject,Group
3084.683,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3014.621,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2974.503,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
1119.02,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1101.412,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1139.459,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1040.5,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1150.976,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1084.658,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1352.84,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1224.534,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1105.167,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1372.723,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1230.969,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1115.478,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1210.962,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1234.819,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1276.337,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1080.713,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
847.349,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
925.547,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1085.539,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1063.775,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1077.447,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1151.861,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1202.16,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1244.801,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1448.299,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1411.447,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1303.453,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1293.599,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1365.779,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
